('voiceless, glottal, oral, fricative',)	ria	0.0909	1	11
('voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative')	ngia	0.0769	1	13
('voiceless, velar, oral, stop',)	na	0.125	2	16
('voiceless, velar, oral, stop', 'voiceless, velar, oral, stop')	na	0.1429	1	7
('voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap')	tia	0.3333	3	9
('voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap')	tia	1.0	1	1
('voiced, bilabial, nasal, stop',)	tia	0.2857	2	7
('voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop')	ngia	0.1667	1	6
('voiced, bilabial, nasal, stop',)	hia	0.1429	1	7
('voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop')	tia	0.3333	1	3
('voiceless, bilabial, oral, stop', 'voiceless, dental, oral, stop')	ria	0.2	2	10
('voiceless, bilabial, oral, stop',)	hia	0.0714	1	14
('voiceless, bilabial, oral, stop', 'voiceless, bilabial, oral, stop')	hia	0.25	1	4
('voiceless, bilabial, oral, stop',)	ria	0.0714	1	14
('voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap')	a	0.3529	6	17
('voiced, dental-alveolar, oral, flap',)	hia	0.1667	2	12
('voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative')	na	0.2	2	10
('voiced, dental-alveolar, oral, flap',)	a	0.5	6	12
('voiced, dental-alveolar, oral, flap', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop')	na	1.0	1	1
('voiced, dental-alveolar, oral, flap',)	ngia	0.0833	1	12
('voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative')	ina	0.1	1	10
('voiced, dental-alveolar, oral, flap',)	mia	0.0833	1	12
('voiced, dental-alveolar, oral, flap', 'voiced, dental-alveolar, oral, flap')	mia	0.1111	1	9
('voiceless, dental, oral, stop', 'voiceless, labio-dental, oral, fricative')	tia	0.3333	2	6
('voiceless, dental, oral, stop', 'voiceless, dental, oral, stop')	tia	0.1667	2	12
('voiceless, dental, oral, stop',)	hia	0.0556	1	18
('voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative')	tia	0.5	4	8
('voiced, dental-alveolar, oral, flap',)	tia	0.1667	2	12
('voiced, bilabial, oral, approximant', 'voiceless, velar, oral, stop')	tia	0.5	1	2
('voiceless, labio-dental, oral, fricative',)	a	0.625	5	8
('voiceless, labio-dental, oral, fricative',)	tia	0.375	3	8
