a	hia	59
a	ria	47
aa	ria	33
aa	hia	24
ā	ria	13
a	mia	13
aaa	ria	13
o	hia	12
u	hia	12
e	hia	12
ao	hia	11
aaa	hia	10
aao	hia	9
i	hia	9
aaā	ria	8
au	ria	7
ee	hia	7
ii	hia	5
eee	hia	5
aa	mia	5
ī	hia	5
aaaa	ria	5
ai	hia	4
āa	ria	4
aau	ria	4
ā	hia	4
uu	hia	4
ū	hia	4
ī	ria	4
au	mia	3
āau	ria	3
ō	hia	3
aai	hia	3
aaau	ria	3
aaaa	hia	3
aaāa	ria	3
aaāau	ria	3
aaoo	hia	3
aaaia	hia	3
aaū	ria	3
ai	ria	2
āi	ria	2
aoa	hia	2
aua	mia	2
o	mia	2
ou	hia	2
i	mia	2
aio	hia	2
ōi	hia	2
āi	hia	2
āu	ria	2
eeee	hia	2
uuu	hia	2
oo	hia	2
āa	hia	2
ao	ria	2
au	hia	2
aua	hia	2
īa	ria	2
īa	hia	2
ūa	hia	2
ūaa	hia	2
u	ria	2
u	mia	2
aaaaa	ria	2
aai	mia	2
aaāao	ria	2
aaa	mia	2
aaao	ria	2
aaāo	ria	2
aaāoo	ria	2
aaāooo	ria	2
aaai	hia	2
aaaaa	hia	2
aai	ria	2
aaūa	ria	2
īi	ria	2
aii	ria	1
āii	ria	1
aoao	hia	1
auau	mia	1
oa	hia	1
oo	mia	1
ua	hia	1
ui	hia	1
iu	mia	1
aiou	hia	1
aua	ria	1
auau	ria	1
oe	hia	1
ōii	hia	1
āii	hia	1
āuu	ria	1
aao	mia	1
ao	mia	1
uuuu	hia	1
aō	hia	1
īi	hia	1
iii	hia	1
ue	hia	1
ūū	hia	1
āao	hia	1
aoo	ria	1
auao	hia	1
īaa	ria	1
io	hia	1
īaa	hia	1
ū	ria	1
ūaao	hia	1
uu	ria	1
uu	mia	1
eo	hia	1
aaaaau	ria	1
aaiu	mia	1
aaio	hia	1
aaai	ria	1
aaaau	ria	1
aaāaoa	ria	1
aaāaoao	ria	1
aaāaua	ria	1
aaāauau	ria	1
aaao	mia	1
aaao	hia	1
aaaoo	ria	1
aaāoooo	ria	1
aaaiai	hia	1
aaaaaa	hia	1
aaiu	ria	1
aaūao	ria	1
aauu	ria	1
āā	ria	1
ea	hia	1
īii	ria	1
