ā	ia	0.07692307692307693
h	ria	0.011695906432748537
h	ngia	0.017543859649122806
hh	ngia	0.05263157894736842
ā	na	0.15384615384615385
āk	na	0.3333333333333333
k	na	0.06417112299465241
kk	na	0.1
ā	tia	0.46153846153846156
āk	tia	0.6666666666666666
ākr	tia	1.0
ākrk	tia	1.0
ākrkr	tia	1.0
ām	tia	0.5
ā	ngia	0.07692307692307693
ām	ngia	0.5
āmn	ngia	1.0
m	hia	0.13
m	tia	0.27
mm	tia	0.36363636363636365
p	ria	0.022598870056497175
pt	ria	0.2222222222222222
ā	ria	0.07692307692307693
āp	ria	0.5
āpt	ria	1.0
p	hia	0.03954802259887006
pp	hia	0.2
ā	a	0.15384615384615385
āp	a	0.5
āpr	a	1.0
r	hia	0.14285714285714285
r	na	0.06428571428571428
rh	na	0.125
ār	na	0.4
ārh	na	1.0
ār	a	0.6
rt	na	0.2222222222222222
rtk	na	1.0
r	ngia	0.06428571428571428
r	ina	0.014285714285714285
rh	ina	0.125
r	mia	0.03571428571428571
rr	mia	0.08333333333333333
t	tia	0.3074433656957929
tw	tia	0.4
twh	tia	0.5555555555555556
āt	tia	1.0
ātt	tia	1.0
t	hia	0.04854368932038835
ē	tia	1.0
k	tia	0.25133689839572193
kh	tia	0.3333333333333333
r	tia	0.21428571428571427
w	tia	0.4098360655737705
wk	tia	0.3333333333333333
w	a	0.3475409836065574
wh	a	0.3373015873015873
wh	tia	0.42063492063492064
whn	tia	0.5454545454545454
āw	tia	1.0
āwh	tia	1.0
āwhn	tia	1.0
h	a	0.5847953216374269
k	a	0.44385026737967914
p	ina	0.04519774011299435
f	tia	1.0
fk	tia	1.0
fkr	tia	1.0
fkrā	tia	1.0
fkrār	tia	1.0
fkrārn	tia	1.0
fkrārng	tia	1.0
hh	a	0.47368421052631576
hr	a	0.7419354838709677
h	tia	0.1871345029239766
hh	tia	0.47368421052631576
hā	tia	0.6
hāh	tia	1.0
hn	tia	0.125
hk	a	0.6
hā	a	0.2
hāk	a	1.0
hākr	a	1.0
hkh	a	0.6666666666666666
hkhk	a	0.6666666666666666
hām	tia	1.0
hāmn	tia	1.0
hn	a	0.8125
hng	a	0.75
h	nga	0.005847953216374269
hā	nga	0.2
hāp	nga	1.0
hhk	tia	1.0
hp	tia	0.5
hpp	tia	1.0
hāw	tia	1.0
hāwh	tia	1.0
hrh	a	1.0
hrhr	a	1.0
hī	a	0.16666666666666666
hī	tia	0.6666666666666666
hīn	tia	1.0
hīng	tia	1.0
hhr	tia	1.0
h	ia	0.04093567251461988
hk	ia	0.13333333333333333
hk	tia	0.06666666666666667
h	na	0.05847953216374269
hn	na	0.0625
hng	na	0.25
hī	na	0.16666666666666666
hīp	na	1.0
hīpk	na	1.0
hīr	tia	1.0
hw	a	1.0
hk	na	0.2
hkh	na	0.3333333333333333
hkhk	na	0.3333333333333333
hkm	a	1.0
hkmr	a	1.0
hkmrm	a	1.0
hkmrmr	a	1.0
hngh	a	1.0
hnghn	a	1.0
hnghng	a	1.0
h	kia	0.011695906432748537
hp	kia	0.5
h	hia	0.05263157894736842
hr	hia	0.1935483870967742
h	mia	0.011695906432748537
hr	mia	0.06451612903225806
hrm	a	1.0
h	ina	0.017543859649122806
hm	a	1.0
hnh	a	1.0
hnhn	a	1.0
hū	tia	1.0
hūp	tia	1.0
hūpk	tia	1.0
ht	a	1.0
n	tia	0.22413793103448276
nk	tia	0.25
n	a	0.3793103448275862
n	mia	0.15517241379310345
r	a	0.4642857142857143
k	ngia	0.0053475935828877
kā	ngia	0.16666666666666666
kh	na	0.13333333333333333
khk	na	0.5
kā	na	0.3333333333333333
kāh	na	1.0
kāhk	na	1.0
k	nga	0.016042780748663103
kn	tia	0.8
kng	tia	0.6
kngā	tia	1.0
kngāk	tia	1.0
k	hia	0.10695187165775401
kp	hia	0.2857142857142857
kpn	hia	0.5
k	ria	0.0481283422459893
kā	ria	0.16666666666666666
kāk	ria	1.0
kākh	ria	1.0
kk	hia	0.1
kkr	hia	1.0
kk	ria	0.3
kk	a	0.4
kn	a	0.2
kng	a	0.4
kp	a	0.7142857142857143
kā	a	0.16666666666666666
kāp	a	1.0
kr	tia	0.25925925925925924
krk	tia	1.0
kr	hia	0.2222222222222222
krn	hia	1.0
krng	hia	1.0
kr	a	0.5185185185185185
krp	a	1.0
krpt	a	1.0
krw	a	1.0
krwh	a	1.0
k	ina	0.0374331550802139
kt	ina	0.125
kt	a	0.625
kt	hia	0.25
km	tia	0.2727272727272727
kmā	tia	1.0
kmāt	tia	1.0
kpr	a	1.0
kw	tia	0.4
kwh	tia	0.7142857142857143
kw	a	0.4
kāw	na	0.3333333333333333
kāwh	na	1.0
kāwhk	na	1.0
kā	tia	0.16666666666666666
kāw	tia	0.6666666666666666
kāwr	tia	1.0
ktk	a	1.0
ktkt	a	1.0
kī	a	1.0
kh	a	0.5333333333333333
kk	tia	0.1
kkn	tia	1.0
km	hia	0.18181818181818182
k	ia	0.026737967914438502
kō	ia	0.043478260869565216
kō	tia	0.43478260869565216
kōh	tia	0.8333333333333334
kōhr	tia	0.6666666666666666
khk	a	0.5
khkh	a	1.0
kō	a	0.43478260869565216
kōh	a	0.16666666666666666
kōhr	a	0.3333333333333333
kōk	tia	1.0
kōkr	tia	1.0
kōm	a	1.0
kōmr	a	1.0
km	a	0.5454545454545454
