ria	au	0.3182	7	22
hia	ao	0.4737	9	19
ria	aii	0.5	1	2
ria	āii	0.125	1	8
hia	aoao	0.3333	1	3
hia	aa	0.1	2	20
mia	au	0.0909	2	22
mia	auau	0.1111	1	9
hia	oa	0.1111	1	9
mia	oo	0.0556	1	18
hia	ou	0.2222	2	9
hia	ua	0.0714	1	14
hia	ui	0.0625	1	16
mia	iu	0.2	1	5
hia	aiou	1.0	1	1
ria	āau	0.2222	2	9
hia	aao	0.6667	2	3
ria	aau	0.5	2	4
hia	aaa	0.2	1	5
ria	auau	0.1111	1	9
hia	ii	0.1053	2	19
hia	oe	0.0909	1	11
hia	ōii	0.1667	1	6
hia	āii	0.125	1	8
ria	āuu	0.3333	1	3
hia	eeee	0.4	2	5
hia	eee	1.0	1	1
mia	aao	0.3333	1	3
mia	ao	0.1053	2	19
hia	ee	0.0833	1	12
hia	uu	0.1304	3	23
hia	uuuu	0.125	1	8
hia	oo	0.1111	2	18
hia	aō	1.0	1	1
hia	ai	0.0833	2	24
hia	aai	0.0909	1	11
hia	īi	0.3333	1	3
hia	iii	0.3333	1	3
hia	ue	0.1667	1	6
hia	ūū	1.0	1	1
ria	aaau	0.2857	4	14
hia	āao	1.0	2	2
ria	aoo	0.5	1	2
hia	auao	0.5	1	2
hia	īao	0.5	1	2
ria	īaa	0.25	1	4
hia	io	0.1667	1	6
hia	īaa	0.25	1	4
ria	ou	0.1111	1	9
ria	ū	0.5	1	2
hia	ūaao	1.0	1	1
ria	uu	0.0435	1	23
mia	uu	0.0435	1	23
hia	au	0.0455	1	22
hia	eo	0.5	1	2
ria	āā	1.0	2	2
ria	aaaaau	1.0	1	1
ria	aaao	0.1667	1	6
hia	aaaa	0.2	2	10
hia	aaei	0.3333	1	3
mia	aaiu	0.25	1	4
hia	aaio	0.1667	1	6
ria	aaai	0.0909	1	11
ria	aaaau	0.5	1	2
ria	aaāaoao	1.0	1	1
ria	aaāau	0.5	1	2
ria	aaāauau	1.0	1	1
mia	aaao	0.1667	1	6
hia	aaāai	0.3333	1	3
hia	aaoi	0.1429	1	7
hia	aaoo	0.5	3	6
hia	aaao	0.1667	1	6
ria	aaaoo	0.3333	1	3
ria	aaāoooo	1.0	1	1
hia	aaaiai	0.3333	1	3
hia	aaaaaa	1.0	1	1
ria	aaiu	0.25	1	4
ria	aaū	0.5	1	2
ria	aaūao	1.0	1	1
ria	aauu	0.2	1	5
hia	ea	0.25	1	4
ria	īii	1.0	1	1
